Year,pre_post,Site,Stand,Age,Plot,Treatment,Ntrt,Ptrt,Species,TagID,TotalSA,NumberOfLeaves,WetMass,DryMass,SLA,LMA,LDMC,N,C,Al,Ca,K,Mg,Mn,Na,P,Sr,S,C:N,N:P,Notes,Tag_when_sampled
2010,pre,JB,JBM,Mid,1,NP,Yes,Yes,GB,2320,NA,NA,NA,NA,NA,NA,NA,24.73,24.73,NA,6.77,10.04,2.07,0.39,0.24,1.11,94.946,NA,1,22.29,,
2016,post,BEF,C6,Mid,1,NP,Yes,Yes,YB,395,57.24,16,5.7,1.79,31.98,0.031,0.31,23.89,459.13,0.015,10.47,11.74,1.97,0.52,0.241,2.2,0.02,0.81,19.22,10.85,,
2015,post,BEF,C6,Mid,2,CONTROL,No,No,BE,629,450.4,10,5.05,2.41,186.89,0.005,0.48,24.36,491.24,0.015,4.53,8.33,1.04,0.41,0.176,1.03,0.008,0.95,20.17,23.62,,
2015,post,BEF,C6,Mid,2,CONTROL,No,No,BE,655,598.55,10,5.79,2.51,238.47,0.004,0.43,26.01,488.2,0.016,6.56,8.79,1.22,0.55,0.418,0.91,0.011,0.89,18.77,28.67,,
2015,post,BEF,C6,Mid,2,CONTROL,No,No,BE,690,636.33,15,6.18,2.95,215.7,0.005,0.48,25.25,494.65,0.015,5.39,7.55,1,0.38,0.149,1.04,0.008,0.83,19.59,24.26,,
2008,pre,HB,HBO,Old,4,CONTROL,No,No,YB,2,NA,NA,NA,NA,NA,NA,NA,28.5,512.36,NA,7.84,6.37,2.6,NA,NA,1.29,NA,NA,17.98,22.15,,
2010,pre,JB,JBM,Mid,1,NP,Yes,Yes,BE,2,NA,NA,NA,NA,NA,NA,NA,25.24,25.24,NA,6.3,10.4,1.64,0.45,0.173,1.23,94.946,NA,1,20.51,,
2008,pre,JB,JBM,Mid,1,NP,Yes,Yes,PC,2,NA,NA,NA,NA,NA,NA,NA,24.6,494.27,NA,8.31,7.66,2.25,NA,NA,1.41,NA,NA,20.09,17.44,,
2015,post,BEF,C6,Mid,2,CONTROL,No,No,RM,639,318.66,8,4.28,1.75,182.09,0.005,0.41,21.34,493.83,0.01,6.51,8.54,0.85,0.31,0.164,1.11,0.013,0.77,23.14,19.3,,
2015,post,BEF,C6,Mid,2,CONTROL,No,No,RM,684,781.87,24,15.37,7.2,108.59,0.009,0.47,21.53,504.72,0.009,4.69,6.25,0.93,0.33,0.614,1.06,0.008,0.82,23.44,20.28,,
2015,post,BEF,C6,Mid,2,CONTROL,No,No,RM,720,740.37,21,11.78,2.2,336.53,0.003,0.19,21.93,499.25,0.014,7.54,6.91,1.17,0.4,0.275,1.21,0.013,0.76,22.77,18.09,,
2010,pre,JB,JBM,Mid,2,N,Yes,No,BE,2,NA,NA,NA,NA,NA,NA,NA,24.85,488.89,NA,6.16,10.16,1.79,0.33,0.082,1.08,97.78,NA,19.67,22.99,small untagged,
2016,post,BEF,C6,Mid,2,CONTROL,No,No,WB,650,49.29,10,6.69,2.76,17.86,0.056,0.41,23.5,491.88,0.034,5.81,8.08,1.31,0.65,0.173,0.93,0.012,0.67,20.93,25.21,,
2016,post,BEF,C6,Mid,2,CONTROL,No,No,WB,8846,47.24,10,6.28,2.42,19.52,0.051,0.39,25.32,489.76,0.027,6.84,12.49,2.07,0.93,0.198,1.15,0.014,0.86,19.35,22.09,,
2010,pre,JB,JBO,Old,1,NP,Yes,Yes,YB,8060,NA,NA,NA,NA,NA,NA,NA,26.96,490.87,NA,9.27,10.37,2.37,0.54,0.213,1.38,95.351,NA,18.2,19.52,,
2010,pre,JB,JBM,Mid,3,CONTROL,No,No,BE,2,NA,NA,NA,NA,NA,NA,NA,24.55,489.46,NA,5.68,8.93,1.14,0.21,0.111,1.24,95.351,NA,19.94,19.87,,
2016,post,BEF,C6,Mid,2,CONTROL,No,No,WB,8849,58,13,8.43,3.44,16.86,0.059,0.41,27.13,497.62,0.046,6.04,6.79,1.29,0.75,0.212,1.02,0.012,0.74,18.34,26.72,,
2016,post,BEF,C6,Mid,2,CONTROL,No,No,YB,693,28.04,10,2.96,2.51,11.17,0.09,0.85,27.6,481.38,0.026,6.47,7.21,1.95,0.77,0.358,1.4,0.012,0.81,17.44,19.77,,
2016,post,BEF,C6,Mid,2,CONTROL,No,No,YB,722,34.1,12,3.35,1.25,27.28,0.037,0.37,28.46,480.77,0.039,5.51,14.82,2.09,0.77,0.206,1.49,0.008,1.14,16.9,19.07,,
2016,post,BEF,C6,Mid,2,CONTROL,No,No,YB,731,76.77,14,6.12,2.15,35.71,0.028,0.35,26.94,480.61,0.02,8.51,10.61,1.66,0.89,0.183,1.47,0.017,0.82,17.84,18.27,,
2016,post,BEF,C4,Mid,1,NP,Yes,Yes,YB,S_D4,48.16,13,3.93,1.38,34.9,0.029,0.35,29.49,481.38,0.04,6.31,18.36,2.11,0.49,1.066,2.44,0.015,1,16.32,12.08,,
