Year,Sample_ID,Site,Stand,Plot,Species,N,C,Ca,K,Mg,Mn,Na,P,Sr,Comments
2010,94,BEF,C6,2,WB,10.558,NA,7.87,5.82,0.93,0.26,0.24,0.27,NA,
2010,95,BEF,C6,3,BE,12,NA,9.03,6.1,0.88,0.75,0.11,0.45,NA,
2010,96,BEF,C6,3,PC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT ENOUGH SAMPLE
2010,97,BEF,C6,3,RM,5.452,NA,NA,NA,NA,NA,NA,NA,NA,
2010,98,BEF,C6,3,YB,9.519,NA,11.4,7.4,1.86,0.48,0.23,0.27,NA,
2010,99,BEF,C6,3,WB,9.454,NA,11.16,5.22,1.36,0.49,0.19,0.27,NA,
2010,100,BEF,C6,3,BE,9.458,NA,9.27,4.73,0.91,0.73,0.04,0.19,NA,
2010,101,BEF,C6,3,RM,6.604,NA,NA,NA,NA,NA,NA,NA,NA,
2010,102,BEF,C6,3,YB,6.699,NA,14.89,4.71,2.01,0.53,0.07,0.31,NA,
2010,103,BEF,C6,3,WB,10.865,NA,8.77,5.81,1.22,0.46,0.17,0.24,NA,
2010,104,BEF,C6,4,BE,13.462,NA,9.2,5.34,0.87,0.85,0.06,0.42,NA,
2010,105,BEF,C6,4,PC,16.54,NA,NA,NA,NA,NA,NA,NA,NA,
2010,106,BEF,C6,4,RM,6.964,NA,NA,NA,NA,NA,NA,NA,NA,
2010,107,BEF,C6,4,YB,11.69,NA,14.48,5.55,1.98,0.48,0.4,0.33,NA,
2010,108,BEF,C6,4,WB,9.866,NA,10.11,5.52,1.5,0.39,0.4,0.28,NA,
2010,109,BEF,C6,4,BE,7.202,NA,9.22,4.59,1.1,0.83,0.11,0.24,NA,
2010,110,BEF,C6,4,RM,7.116,NA,NA,NA,NA,NA,NA,NA,NA,
2010,111,BEF,C6,4,YB,11.11,NA,NA,NA,NA,NA,NA,NA,NA,
2010,112,BEF,C8,1,BE,8.445,NA,8.31,5.82,1.06,0.61,0.1,0.57,NA,
2010,113,BEF,C8,1,SM,5.698,NA,9.01,5.63,0.62,0.6,0.06,0.25,NA,
2010,114,BEF,C8,1,SM,6.325,NA,NA,NA,NA,NA,NA,NA,NA,
2010,115,BEF,C8,2,BE,10.798,NA,7.99,4.85,1.34,0.48,0.04,0.66,NA,
2010,116,BEF,C8,2,SM,6.151,NA,10.81,5.98,1.16,0.59,0.07,0.6,NA,
2010,117,BEF,C8,2,YB,12.992,NA,NA,NA,NA,NA,NA,NA,NA,
2010,118,BEF,C8,2,BE,7.646,NA,8.55,4.85,1.25,0.67,0.04,0.44,NA,
2010,119,BEF,C8,2,SM,5.861,NA,12.01,6.71,1.2,0.51,0.1,0.41,NA,
2010,120,BEF,C8,2,YB,10.401,NA,NA,NA,NA,NA,NA,NA,NA,
2010,121,BEF,C8,3,BE,11.637,NA,7.12745,7.83775,1.17355,1.16035,0.0539,1.2328,0.0209,Remeasured in 2023: results are average of 2010 and 2023 measurements
