Site,Stand,Plot,Treatment,Ntrt,Ptrt,Species,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,Note,propC,propN,N,CN,Leaf_Number,Mass,Yearcut
BEF,C2,4,N,1,0,YB,0.0169,0.0208,12.4449,0.0552,4.2639,2.2755,2.4929,0.4219,0.3458,0.7605,0.0363,0.3274,,0.488,0.0095,9.5,51.37,11,1.55,1988
BEF,C4,1,NP,1,1,BE,0.0135,0.0114,9.9213,0.0324,5.3748,0.9185,1.0448,0.4987,1.1275,0.6406,0.0228,0.0245,,0.5079,0.0053,5.284,96.12,29,4.68,1979
BEF,C4,1,NP,1,1,RM,0.0072,0.0193,7.8419,0.0387,7.1588,1.6151,0.6736,6.286,1.2871,0.6985,0.0187,0.038,,0.4834,0.0099,9.922,48.73,29,5.86,1979
BEF,C4,1,NP,1,1,WB,0.0153,0.0215,7.996,0.0356,7.6041,1.4118,1.1679,0.5093,1.571,0.5696,0.0244,0.2047,,0.5094,0.0054,5.426,93.95,28,4.88,1979
BEF,C4,1,NP,1,1,YB,0.0163,0.0213,12.073,0.0392,5.9999,1.6726,2.04,0.2936,2.0386,0.6509,0.0354,0.2996,,0.4961,0.0071,7.142,69.47,27,5.99,1979
BEF,C4,2,N,1,0,BE,0.0206,0.0103,6.4035,0.0323,4.8141,0.5968,1.4273,4.4996,0.1103,0.7113,0.0108,0.019,,0.5028,0.0064,6.378,78.83,26,4.5,1979
BEF,C4,2,N,1,0,RM,0.0094,0.0131,8.3659,0.0571,4.2429,1.246,1.6341,0.4664,0.2461,0.774,0.0115,0.0257,,0.5057,0.0065,6.476,78.1,28,6.79,1979
BEF,C4,2,N,1,0,WB,0.0179,0.0174,5.811,0.046,7.6738,1.2538,1.419,6.1051,0.2545,0.7467,0.0117,0.1898,,0.5139,0.0095,9.453,54.36,27,5.33,1979
BEF,C4,2,N,1,0,YB,0.0179,0.0206,8.7497,0.0631,7.9755,1.5335,2.2765,0.4574,0.3179,0.7171,0.0183,0.2087,,0.4998,0.0107,10.702,46.7,28,4.38,1979
BEF,C4,3,Control,0,0,BE,0.0213,0.0171,7.522,0.037,5.9711,0.6712,1.8864,4.5046,0.1927,0.6918,0.0142,0.0232,,0.5056,0.0058,5.794,87.28,28,4.67,1979
BEF,C4,3,Control,0,0,RM,0.0143,0.0157,10.6006,0.0493,3.8517,1.0682,2.5488,0.5019,0.2617,0.793,0.0192,0.0334,,0.4956,0.0046,4.614,107.43,27,6.04,1979
BEF,C4,3,Control,0,0,WB,0.0261,0.0155,8.96,0.0458,5.0283,1.5895,1.9609,0.2624,0.2739,0.6588,0.0237,0.2025,,0.5153,0.0062,6.165,83.59,30,5.01,1979
BEF,C4,3,Control,0,0,YB,0.0218,0.0295,11.9622,0.0666,7.6341,2.0776,3.089,0.4509,0.3619,0.6789,0.0307,0.2319,,0.4881,0.0075,7.548,64.66,27,4.05,1979
BEF,C4,4,P,0,1,BE,0.0206,0.0146,9.6905,0.0445,7.3432,0.404,2.8391,0.2968,3.0648,0.7077,0.0266,0.0318,Reran and averaged,0.4976,0.0057,5.656,87.98,29,5.59,1979
BEF,C4,4,P,0,1,RM,0.0117,0.0228,7.245,0.0391,5.4413,0.8506,2.0236,0.3256,3.8205,0.7286,0.017,0.0184,,0.4965,0.0074,7.371,67.36,28,7.3,1979
BEF,C4,4,P,0,1,WB,0.0199,0.0208,7.2022,0.0354,5.3857,0.9261,2.3624,5.4757,1.9741,0.5247,0.0193,0.136,,0.515,0.0046,4.585,112.32,28,5.4,1979
