"","Site","Stand","Species","PlotID","Nlitpre","Calitpre","Klitpre","Mglitpre","Plitpre","Mnlitpre","Plot"
"115","HB","HBM","SM","HBM_2",9.51,6.717866762,4.18175084,0.718827287,0.349600023,2.164359611,2
"116","HB","HBM","SM","HBM_3",11.799,12.343,2.18,1.354,0.641,1.6,3
"117","HB","HBM","SM","HBM_4",9.495,8.787790319,4.350962107,0.9985487565,0.341187121,1.408997827,4
"118","HB","HBM","WB","HBM_1",12.2185,7.768196387,6.0871545055,1.1778845275,0.4507531095,1.074754478,1
"119","HB","HBM","WB","HBM_2",12.417,5.933001779,3.379845089,0.912858125,0.396177182,1.179658212,2
"120","HB","HBM","WB","HBM_3",11.341,7.1689237895,5.0147294895,1.1798687505,0.434962878,0.927430519,3
"121","HB","HBM","WB","HBM_4",12.494,8.0888240495,7.247895063,1.1054044,0.4573041295,0.98001357,4
"122","HB","HBM","YB","HBM_1",12.47,11.25654225,6.059053982,1.991365054,0.534461648,3.067333131,1
"123","HB","HBM","YB","HBM_2",13.319,11.68355729,4.8895752395,1.889147833,0.5181024865,1.5917738035,2
"124","HB","HBM","YB","HBM_3",13.1405,11.971326225,5.0392358075,1.982135756,0.5337537675,1.5407360955,3
"125","HB","HBM","YB","HBM_4",13.6895,10.143995156,5.8190133805,1.6575724175,0.5496099825,1.6182526705,4
"126","HB","HBO","BE","HBO_1",8.759,7.64,3.21,1.46,0.19,0.39,1
"127","HB","HBO","BE","HBO_2",10.2825,7.4153385675,1.8996378595,1.4558112285,0.3386267325,0.6263240105,2
"128","HB","HBO","BE","HBO_3",10.536,8.85,3.64,1.53,0.32,0.42,3
"129","HB","HBO","BE","HBO_4",8.234,7.65,2.64,1.35,0.27,0.42,4
"130","HB","HBO","RM","HBO_3",7.82,7.3482404875,3.6044006875,1.700336698,0.428222427,1.162687825,3
"131","HB","HBO","SM","HBO_1",8.644,6.74,1.728,1.385,0.298,1.809,1
"132","HB","HBO","SM","HBO_2",7.381,5.429518649,3.156855393,0.9592666195,0.2859596105,1.239806912,2
"133","HB","HBO","SM","HBO_3",8.045,9.04,4.16,1.39,0.2,0.54,3
"134","HB","HBO","SM","HBO_4",7.588,6.152177772,1.973052652,1.0464612945,0.2415851715,1.011932592,4
"135","HB","HBO","YB","HBO_1",11.562,11.488782475,2.8621687445,3.0333159535,0.432459628,1.0460240205,1
"136","HB","HBO","YB","HBO_2",12.699,11.54207879,2.43522009475,3.0321556025,0.4851000685,1.78611743925,2
"137","HB","HBO","YB","HBO_3",12.833,10.559407475,3.139156689,2.6337071935,0.5020903855,1.300996104,3
"138","HB","HBO","YB","HBO_4",12.808,11,3.37,2.94,0.42,0.44,4
"139","JB","JBM","BE","JBM_1",7.811290622,9.717078956,7.247895063,1.215,0.4851000685,3.881987458,1
"140","JB","JBM","BE","JBM_4",10.01777707,10.74,3.935,1.5645,0.2765,0.638,4
"141","JB","JBM","PC","JBM_1",9.672,5.936060835,4.2382107395,0.580181481,0.5389125,0.59,1
"142","JB","JBM","PC","JBM_2",9.9,10.82502983,7.261872214,1.9256731805,0.411762473,1.323377998,2
"143","JB","JBM","SM","JBM_1",8.87,13.6372285,5.198909784,1.3062762535,0.3313744405,0.996363113,1
"144","JB","JBM","SM","JBM_2",8.971934675,16.936,4.434,1.233,0.266,0.847,2
"145","JB","JBM","SM","JBM_3",9.05966831,18.137452615,5.272677201,1.207427114,0.292298329,0.4252400285,3
"146","JB","JBM","SM","JBM_4",7.132954635,15.425,5.102,0.973,0.226,0.633,4
"147","JB","JBM","WB","JBM_1",14.10796046,7.481,8.777,1.201,0.519,1.125,1
"148","JB","JBM","WB","JBM_2",19.60380498,17.602,6.56,2.321,0.433,1.322,2
"149","JB","JBM","WB","JBM_3",14.36,13.79127119,8.831334387,1.867103425,0.559727216,0.318379927,3
"150","JB","JBM","WB","JBM_4",16.98639713,10.327,5.997,1.676,0.642,0.848,4
"151","JB","JBM","WB","JBM_NA",13.77,10.39846082,7.32515042,1.751006763,0.5122254,0.8650573,NA
"152","JB","JBM","YB","JBM_1",11.755726015,11.315276745,7.2473416505,2.051045774,0.403508384,0.969570528,1
"153","JB","JBM","YB","JBM_2",13.26297114,12.494,4.944,2.194,0.428,1.132,2
"154","JB","JBM","YB","JBM_3",13.403348225,15.88383642,7.048782262,2.231793456,0.4873000125,0.4966634055,3
"155","JB","JBM","YB","JBM_4",12.454501005,12.642081895,5.9163436995,2.421183584,0.433758786,0.7517464395,4
"156","JB","JBO","BE","JBO_1",9.444,10.111,0.561,0.596,0.199,0.557,1
"157","JB","JBO","BE","JBO_2",9.672,8.185,0.725,0.588,0.204,0.605,2
"158","JB","JBO","BE","JBO_3",9.612629686,7.306,2.994,1.147,0.385,0.81,3
"159","JB","JBO","BE","JBO_4",5.811484784,9.391,4.729,1.113,0.228,1.966,4
"160","JB","JBO","SM","JBO_1",7.867412218,16.1025597,4.0309880105,1.1787253605,0.265949512,0.8557516805,1
"161","JB","JBO","SM","JBO_2",8.373434661,12.09704915,4.6072919835,1.093179589,0.2768441215,1.1053439885,2
"162","JB","JBO","SM","JBO_3",8.731906798,10.7123130375,3.0286057485,0.9917361865,0.3198727925,1.573164103,3
"163","JB","JBO","SM","JBO_4",7.771950184,15.6749,4.15,1.1937,0.2785,1.1052,4
"164","JB","JBO","YB","JBO_1",12.06514723,9.0294935005,7.289670124,1.8214772255,0.55528427,1.47782173,1
"165","JB","JBO","YB","JBO_2",12.733969065,16.265825115,7.720167229,2.2333902505,0.4399477015,1.511542211,2
"166","JB","JBO","YB","JBO_3",11.88077742,13.728,4.384,2.261,0.406,1.813,3
"167","JB","JBO","YB","JBO_4",14.822,11.41,1.465,1.481,0.52,1.464,4
